sp_com,sp_sci,food_type,wax_visible,wax_amount,age,sex,lat,lon,imageID,date,timestart,timefinish,waxplacement,waxfinished,cameratrap,guided,time_from_harvesttoplaced,trial,timestart_UNIX,timefinish_UNIX,waxplacement_UNIX,waxfinished_UNIX,duration,timeafterplacement,timefromwaxfinish,waxduration,censored,final_animal,arrival,cameratrap_endtimeUNIX,trapduration,interval start,interval finish,trap_duration_days,offset,offset_days
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0021,13-10-15,13-10-15 11:29,13-10-15 11:29,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444735740,1444735779,1444734305,1445243603,39,1436,507863,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0064,13-10-15,13-10-15 12:19,13-10-15 12:22,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444738763,1444738922,1444734305,1445243603,159,4459,504840,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0078,13-10-15,13-10-15 15:37,13-10-15 15:37,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444750664,1444750674,1444734305,1445243603,10,16360,492939,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0083,14-10-15,14-10-15 4:59,14-10-15 5:20,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444798796,1444800018,1444734305,1445243603,1223,64492,444807,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,brood,1,4,A,F,-12.13337,38.0981,IMAG0093,14-10-15,14-10-15 6:13,14-10-15 6:13,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444803208,1444803209,1444734305,1445243603,1,68904,440395,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,brood,1,4,A,F,-12.13337,38.0981,IMAG0109,14-10-15,14-10-15 6:27,14-10-15 6:27,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444804020,1444804022,1444734305,1445243603,2,69716,439583,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,brood,1,4,A,U,-12.13337,38.0981,IMAG0099,14-10-15,14-10-15 6:17,14-10-15 6:35,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444803446,1444804529,1444734305,1445243603,1083,69142,440157,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0127,15-10-15,14-10-15 6:40,14-10-15 6:42,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444804812,1444804960,1444734305,1445243603,148,70508,438791,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,brood,1,4,A,U,-12.13337,38.0981,IMAG0135,14-10-15,14-10-15 6:57,14-10-15 7:00,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444805842,1444806021,1444734305,1445243603,180,71538,437761,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,brood,1,4,A,U,-12.13337,38.0981,IMAG0154,14-10-15,14-10-15 8:11,14-10-15 8:18,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444810292,1444810726,1444734305,1445243603,435,75988,433311,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,brood,1,4,A,F,-12.13337,38.0981,IMAG0175,14-10-15,14-10-15 8:41,14-10-15 8:43,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444812087,1444812187,1444734305,1445243603,101,77783,431516,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0185,14-10-15,14-10-15 9:17,14-10-15 9:22,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444814276,1444814569,1444734305,1445243603,293,79972,429327,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,brood,1,4,A,U,-12.13337,38.0981,IMAG0393,14-10-15,14-10-15 15:20,14-10-15 15:20,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444836032,1444836040,1444734305,1445243603,8,101728,407571,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0395,14-10-15,14-10-15 17:32,14-10-15 17:34,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444843972,1444844081,1444734305,1445243603,110,109668,399631,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,wax_brood,1,4,A,U,-12.13337,38.0981,IMAG0405,15-10-15,15-10-15 7:58,15-10-15 8:08,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444895893,1444896488,1444734305,1445243603,595,161589,347710,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0414,15-10-15,15-10-15 8:11,15-10-15 10:15,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444896719,1444904126,1444734305,1445243603,7408,162415,346884,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,not_eating ,1,4,A,M,-12.13337,38.0981,IMAG0510,15-10-15,15-10-15 10:32,15-10-15 10:33,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444905177,1444905186,1444734305,1445243603,9,170873,338426,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0605,15-10-15,15-10-15 13:20,15-10-15 13:23,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444915251,1444915387,1444734305,1445243603,137,180947,328352,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0631,15-10-15,15-10-15 15:05,15-10-15 15:45,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444921535,1444923951,1444734305,1445243603,2417,187231,322068,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0677,16-10-15,16-10-15 4:47,16-10-15 4:47,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444970842,1444970844,1444734305,1445243603,2,236538,272761,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0680,16-10-15,16-10-15 5:06,16-10-15 5:10,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444972003,1444972255,1444734305,1445243603,252,237699,271600,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,wax_brood,1,4,A,U,-12.13337,38.0981,IMAG0695,16-10-15,16-10-15 5:16,16-10-15 5:21,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444972572,1444972884,1444734305,1445243603,312,238268,271031,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,not_eating ,1,4,A,M,-12.13337,38.0981,IMAG0707,16-10-15,16-10-15 5:23,16-10-15 5:27,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444972990,1444973243,1444734305,1445243603,253,238686,270613,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax,1,4,A,M,-12.13337,38.0981,IMAG0717,16-10-15,16-10-15 5:27,16-10-15 5:31,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444973243,1444973466,1444734305,1445243603,223,238939,270360,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,A,U,-12.13337,38.0981,IMAG0731,16-10-15,16-10-15 5:38,16-10-15 6:16,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444973938,1444976196,1444734305,1445243603,2259,239634,269665,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0785,16-10-15,16-10-15 6:17,16-10-15 6:35,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444976279,1444977301,1444734305,1445243603,1022,241975,267324,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Yellow-bellied greenbul,Chlorocichla flaviventris,not_eating ,1,4,A,U,-12.13337,38.0981,IMAG0817,16-10-15,16-10-15 6:49,16-10-15 6:49,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444978170,1444978172,1444734305,1445243603,2,243866,265433,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,U,U,-12.13337,38.0981,IMAG0818,16-10-15,16-10-15 6:53,16-10-15 6:54,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444978393,1444978483,1444734305,1445243603,90,244089,265210,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax,1,4,A,M,-12.13337,38.0981,IMAG0825,16-10-15,16-10-15 6:55,16-10-15 6:58,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444978514,1444978688,1444734305,1445243603,174,244210,265089,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,A,M,-12.13337,38.0981,IMAG0832,16-10-15,16-10-15 6:59,16-10-15 7:02,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444978771,1444978954,1444734305,1445243603,183,244467,264832,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,U,U,-12.13337,38.0981,IMAG0836,16-10-15,16-10-15 7:00,16-10-15 7:15,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444978852,1444979751,1444734305,1445243603,900,244548,264751,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,A,M,-12.13337,38.0981,IMAG0862,16-10-15,16-10-15 7:12,16-10-15 7:16,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444979540,1444979761,1444734305,1445243603,221,245236,264063,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,wax_brood,1,4,A,U,-12.13337,38.0981,IMAG0875,16-10-15,16-10-15 7:23,16-10-15 7:27,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444980185,1444980453,1444734305,1445243603,269,245881,263418,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,U,M,-12.13337,38.0981,IMAG0880,16-10-15,16-10-15 7:30,16-10-15 7:35,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444980648,1444980914,1444734305,1445243603,266,246344,262955,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Slender mongoose,Herpestes sanguineus,wax_brood,1,4,A,U,-12.13337,38.0981,IMAG0901,16-10-15,16-10-15 7:48,16-10-15 8:06,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444981715,1444982803,1444734305,1445243603,1089,247411,261888,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,2,U,U,-12.13337,38.0981,IMAG0934,16-10-15,16-10-15 8:16,16-10-15 8:57,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444983371,1444985858,1444734305,1445243603,2487,249067,260232,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,2,U,U,-12.13337,38.0981,IMAG1154,16-10-15,16-10-15 15:14,16-10-15 15:14,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445008458,1445008474,1444734305,1445243603,16,274154,235145,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Slender mongoose,Herpestes sanguineus,eating_fooduncertain,1,2,A,U,-12.13337,38.0981,IMAG1156,16-10-15,16-10-15 16:26,16-10-15 16:26,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445012806,1445012813,1444734305,1445243603,8,278502,230797,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
African civet,Civettictis civetta,eating_fooduncertain,1,2,U,U,-12.13337,38.0981,IMAG1160,17-10-15,17-10-15 2:38,17-10-15 2:40,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445049490,1445049651,1444734305,1445243603,161,315186,194113,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,not_eating ,1,2,A,U,-12.13337,38.0981,IMAG1168,17-10-15,17-10-15 4:45,17-10-15 4:46,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445057124,1445057178,1444734305,1445243603,54,322820,186479,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax,1,2,A,M,-12.13337,38.0981,IMAG1176,17-10-15,17-10-15 5:21,17-10-15 5:23,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445059291,1445059416,1444734305,1445243603,125,324987,184312,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,eating_fooduncertain,1,2,A,U,-12.13337,38.0981,IMAG1182,17-10-15,17-10-15 6:29,17-10-15 6:31,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445063395,1445063489,1444734305,1445243603,94,329091,180208,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,2,U,U,-12.13337,38.0981,IMAG1186,17-10-15,17-10-15 6:43,17-10-15 6:43,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445064204,1445064220,1444734305,1445243603,16,329900,179399,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,not_eating ,1,2,A,U,-12.13337,38.0981,IMAG1188,17-10-15,17-10-15 6:43,17-10-15 6:47,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445064236,1445064473,1444734305,1445243603,237,329932,179367,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Slender mongoose,Herpestes sanguineus,wax_brood,1,2,A,U,-12.13337,38.0981,IMAG1193,17-10-15,17-10-15 7:14,17-10-15 7:20,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445066072,1445066403,1444734305,1445243603,331,331768,177531,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax,1,2,U,U,-12.13337,38.0981,IMAG1203,17-10-15,17-10-15 8:13,17-10-15 8:39,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445069588,1445071169,1444734305,1445243603,1581,335284,174015,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Slender mongoose,Herpestes sanguineus,eating_fooduncertain,1,2,A,U,-12.13337,38.0981,IMAG1228,17-10-15,17-10-15 9:02,17-10-15 9:02,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445072558,1445072574,1444734305,1445243603,16,338254,171045,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,2,A,U,-12.13337,38.0981,IMAG1352,18-10-15,18-10-15 6:11,18-10-15 6:12,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445148707,1445148724,1444734305,1445243603,18,414403,94896,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,not_eating ,1,2,A,M,-12.13337,38.0981,IMAG1356,18-10-15,18-10-15 6:30,18-10-15 6:30,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445149839,1445149846,1444734305,1445243603,8,415535,93764,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,2,A,U,-12.13337,38.0981,IMAG1360,18-10-15,18-10-15 6:39,18-10-15 6:40,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445150397,1445150454,1444734305,1445243603,57,416093,93206,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax,1,2,U,U,-12.13337,38.0981,IMAG1369,18-10-15,18-10-15 8:23,18-10-15 8:25,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445156626,1445156708,1444734305,1445243603,83,422322,86977,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax,1,2,U,U,-12.13337,38.0981,IMAG1372,18-10-15,18-10-15 8:55,18-10-15 8:57,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445158544,1445158669,1444734305,1445243603,126,424240,85059,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Striped bush squirrel,Paraxerus flavovittis,wax,1,2,U,U,-12.13337,38.0981,IMAG1381,18-10-15,18-10-15 9:11,18-10-15 9:12,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445159480,1445159552,1444734305,1445243603,72,425176,84123,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
African civet,Civettictis civetta,eating_fooduncertain,1,2,U,U,-12.13337,38.0981,IMAG1425,18-10-15,18-10-15 18:06,18-10-15 18:07,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445191594,1445191620,1444734305,1445243603,27,457290,52009,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Mellers mongoose,Rhynchogale melleri,eating_fooduncertain,1,2,A,U,-12.13337,38.0981,IMAG1428,18-10-15,18-10-15 18:14,18-10-15 18:14,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445192055,1445192072,1444734305,1445243603,18,457751,51548,509298,0,NA,B,1445270525,536220,1445192055,1445243603,6.21,51548,0.597
Honey badger,Mellivora capensis,eating_fooduncertain,1,2,A,U,-12.13337,38.0981,IMAG1432,18-10-15,18-10-15 22:55,18-10-15 22:56,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445208947,1445208994,1444734305,1445243603,47,474643,34656,509298,0,NA,B,1445270525,536220,1445192055,1445243603,6.21,51548,0.597
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,2,U,U,-12.13337,38.0981,IMAG1444,19-10-15,19-10-15 6:55,19-10-15 6:56,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445237742,1445237792,1444734305,1445243603,51,503438,5861,509298,0,NA,B,1445270525,536220,1445192055,1445243603,6.21,51548,0.597
Striped bush squirrel,Paraxerus flavovittis,eating_fooduncertain,1,2,A,M,-12.13337,38.0981,IMAG1457,19-10-15,19-10-15 8:20,19-10-15 8:20,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1445242828,1445242838,1444734305,1445243603,10,508524,775,509298,0,NA,B,1445270525,536220,1445192055,1445243603,6.21,51548,0.597
Greater honeyguide,Indicator indicator,eating_fooduncertain,1,4,A,M,-12.1368,38.09067,IMAG0010,25-09-15,25-09-15 5:35,25-09-15 5:35,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443159335,1443159337,1443093234,1443232748,2,66101,73413,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.1368,38.09067,IMAG0012,25-09-15,25-09-15 6:07,25-09-15 6:14,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443161264,1443161643,1443093234,1443232748,380,68030,71484,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,A,M,-12.1368,38.09067,IMAG0019,25-09-15,25-09-15 6:29,25-09-15 7:50,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443162597,1443167438,1443093234,1443232748,4841,69363,70151,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,A,M,-12.1368,38.09067,IMAG0055,25-09-15,25-09-15 10:05,25-09-15 10:15,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443175557,1443176142,1443093234,1443232748,585,82323,57191,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Greater honeyguide,Indicator indicator,eating_fooduncertain,1,4,J,M,-12.1368,38.09067,IMAG0067,25-09-15,25-09-15 13:42,25-09-15 13:42,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443188575,1443188577,1443093234,1443232748,2,95341,44173,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,A,U,-12.1368,38.09067,IMAG0073,25-09-15,25-09-15 15:25,25-09-15 15:50,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443194726,1443196211,1443093234,1443232748,1485,101492,38022,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
African civet,Civettictis civetta,wax_brood,1,4,U,U,-12.1368,38.09067,IMAG0084,25-09-15,25-09-15 20:28,25-09-15 20:36,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443212929,1443213400,1443093234,1443232748,471,119695,19819,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
African civet,Civettictis civetta,wax_brood,1,2,U,U,-12.1368,38.09067,IMAG0092,25-09-15,26-09-15 1:17,26-09-15 1:59,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443230247,1443232748,1443093234,1443232748,2501,137013,2501,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,2,A,U,-12.1368,38.09067,IMAG0084,26-09-15,26-09-15 16:58,26-09-15 17:07,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443286684,1443287245,1443093234,1443232748,561,193450,-53936,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Greater honeyguide,Indicator indicator,not_eating ,1,2,A,F,-12.1368,38.09067,IMAG0144,27-09-15,27-09-15 5:55,27-09-15 5:57,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443333337,1443333422,1443093234,1443232748,85,240103,-100589,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,2,A,U,-12.1368,38.09067,IMAG0152,27-09-15,27-09-15 6:51,27-09-15 7:22,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443336691,1443338522,1443093234,1443232748,1831,243457,-103943,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,2,A,U,-12.1368,38.09067,IMAG0250,27-09-15,27-09-15 7:42,27-09-15 7:53,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443339777,1443340402,1443093234,1443232748,626,246543,-107029,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,2,A,U,-12.1368,38.09067,IMAG0220,28-09-15,28-09-15 15:33,28-09-15 16:24,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443454398,1443457474,1443093234,1443232748,3076,361164,-221650,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,2,A,U,-12.1368,38.09067,IMAG0260,29-09-15,29-09-15 8:50,29-09-15 8:58,24-09-15 11:13,26-09-15 1:59,Ltl Acorn,N,4,2,1443516618,1443517099,1443093234,1443232748,482,423384,-283870,139514,0,NA,A,1443232748,139514,1443093234,1443232748,1.61,139514,1.615
Greater honeyguide,Indicator indicator,wax,1,4,J,F,-12.139,38.09163,IMAG0038,29-09-15,29-09-15 14:37,29-09-15 14:40,29-09-15 11:16,05-10-15 16:11,Ltl Acorn,Y,6,3,1443537479,1443537620,1443525370,1444061475,142,12109,523996,536105,1,civet,A,1444150472,625102,1443525370,1444061475,7.23,536105,6.205
Greater honeyguide,Indicator indicator,wax,1,4,J,M,-12.139,38.09163,IMAG0050,29-09-15,29-09-15 14:59,29-09-15 15:02,29-09-15 11:16,05-10-15 16:11,Ltl Acorn,Y,6,3,1443538770,1443538972,1443525370,1444061475,202,13400,522705,536105,1,civet,A,1444150472,625102,1443525370,1444061475,7.23,536105,6.205
Striped bush squirrel,Paraxerus flavovittis,wax_brood,1,4,A,U,-12.139,38.09163,IMAG0064,29-09-15,29-09-15 16:00,29-09-15 16:00,29-09-15 11:16,05-10-15 16:11,Ltl Acorn,Y,6,3,1443542411,1443542427,1443525370,1444061475,16,17041,519064,536105,1,civet,A,1444150472,625102,1443525370,1444061475,7.23,536105,6.205
Greater honeyguide,Indicator indicator,wax,1,4,J,M,-12.139,38.09163,IMAG0068,29-09-15,29-09-15 16:16,29-09-15 16:19,29-09-15 11:16,05-10-15 16:11,Ltl Acorn,Y,6,3,1443543360,1443543592,1443525370,1444061475,233,17990,518115,536105,1,civet,A,1444150472,625102,1443525370,1444061475,7.23,536105,6.205
